H;88;;;00016757;20120325;20120317;20120323;
S;074;2;5.47;15.17;
D;01361742;高露洁儿童牙膏水果香型90g;609;
S;028;0;0;;
D;01381665;高露洁冰爽牙膏冰冷薄荷100g;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;01381666;高露洁冰爽牙膏清新柠檬100g;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;01381667;高露洁冰爽牙膏天然茶香100g;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;01381671;高露洁冰爽牙膏清新柠檬165g;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;01381672;高露洁冰爽牙膏天然茶香165g;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;01387553;高露洁冰爽薄荷牙膏165g;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;01483513;高露洁维C爽水晶牙膏90g;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;01536197;高露洁360度牙刷;605;
S;028;4;40.68;12.98;
S;054;4;40.68;12.98;
S;074;2;20.34;12.98;
D;01675304;高露洁多啦A梦儿童牙刷;610;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;01805566;高露洁草本90g双支装;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;01817557;高露洁冰爽沁凉草莓牙膏100g;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;01817558;高露洁牙膏冰爽沁凉草莓165g;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;01817560;高露洁儿童牙膏香橙香型40g;609;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;01817564;高露洁前驱全控型牙刷买2送1装;605;
S;028;1;15.21;23.34;
S;054;2;30.43;23.69;
S;074;0;0;;
D;01939862;高露洁清新旋风牙刷单支装;605;
S;028;2;10.09;10.8;
S;054;1;5.04;10.52;
S;074;0;0;;
D;01939864;高露洁清新旋风牙刷三支装;605;
S;028;3;37.18;13.58;
S;054;2;24.79;13.59;
S;074;1;12.39;13.56;
D;02019805;高露洁草本牙膏200g;604;
S;028;8;35.56;14.06;
S;054;23;102.22;14.05;
S;074;15;66.67;14.05;
D;02032064;高露洁草本牙膏140g8折装;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;02113275;高露洁旋风清新牙刷买二送二特惠装;605;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;02166460;高露洁冰爽牙膏100克加超感白100克促销装;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;02166550;高露洁冰爽薄荷100g八折装;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;02166551;高露洁冰爽柠檬100g八折装;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;02166552;高露洁冰爽100g八折装;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;02221128;高露洁防蛀美白牙膏90g;604;
S;028;8;21.88;22.12;
S;054;0;0;;
S;074;19;51.97;22.13;
D;02221129;高露洁防蛀牙美白牙膏140克;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;02376446;高露洁冰爽劲白牙膏100g;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;02376472;高露洁冰爽劲白牙膏165g;604;
S;028;0;0;;
